tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-773,Bucharest,Clay,32,A,20040913,14,104925,,Q,Novak Djokovic,R,188.0,SRB,17.3,103096,,,Arnaud Clement,R,173.0,FRA,26.7,2-6 6-4 6-4,3,R32,146.0,4.0,2.0,91.0,60.0,39.0,19.0,14.0,2.0,5.0,0.0,2.0,93.0,62.0,40.0,16.0,14.0,7.0,10.0,272.0,128.0,67.0,623.0
2004-D045,Davis Cup G2 R1: SCG vs LAT,Carpet,4,D,20040409,5,104925,,,Novak Djokovic,R,188.0,SRB,16.8,108912,,,Janis Skroderis,R,,LAT,20.6,6-2 6-2,3,RR,,,,,,,,,,,,,,,,,,,,606.0,28.0,1340.0,2.0
2005-375,Lyon,Carpet,32,A,20051024,15,104925,,,Novak Djokovic,R,188.0,SRB,18.4,103672,,,Ricardo Mello,L,175.0,BRA,24.8,7-6(5) 6-4,3,R32,105.0,4.0,3.0,80.0,51.0,37.0,12.0,11.0,5.0,7.0,5.0,5.0,90.0,65.0,38.0,14.0,11.0,6.0,9.0,88.0,468.0,105.0,398.0
2005-439,Umag,Clay,32,A,20050725,14,104925,,,Novak Djokovic,R,188.0,SRB,18.1,102231,,,Alex Calatrava,R,190.0,ESP,32.1,6-1 6-4,3,R32,63.0,1.0,0.0,52.0,36.0,26.0,13.0,9.0,4.0,4.0,1.0,1.0,41.0,25.0,17.0,7.0,8.0,1.0,4.0,97.0,417.0,163.0,259.0
2005-520,Roland Garros,Clay,128,G,20050523,34,104925,,Q,Novak Djokovic,R,188.0,SRB,18.0,104068,,,Robby Ginepri,R,183.0,USA,22.6,6-0 6-0 6-3,5,R128,78.0,6.0,2.0,58.0,39.0,29.0,12.0,10.0,1.0,2.0,4.0,4.0,80.0,45.0,22.0,11.0,11.0,7.0,16.0,153.0,287.0,71.0,550.0
2005-540,Wimbledon,Grass,128,G,20050620,54,104925,,Q,Novak Djokovic,R,188.0,SRB,18.0,104338,,,Juan Monaco,R,185.0,ARG,21.2,6-3 7-6(5) 6-3,5,R128,113.0,2.0,5.0,94.0,65.0,53.0,16.0,16.0,2.0,3.0,4.0,5.0,97.0,63.0,44.0,18.0,14.0,7.0,10.0,128.0,337.0,68.0,577.0
2005-540,Wimbledon,Grass,128,G,20050620,91,104925,,Q,Novak Djokovic,R,188.0,SRB,18.0,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,22.0,3-6 3-6 7-6(5) 7-6(3) 6-4,5,R64,248.0,8.0,4.0,173.0,105.0,75.0,31.0,26.0,9.0,18.0,6.0,5.0,182.0,108.0,76.0,33.0,26.0,10.0,17.0,128.0,337.0,81.0,513.0
2005-560,US Open,Hard,128,G,20050829,27,104925,,,Novak Djokovic,R,188.0,SRB,18.2,104792,,,Gael Monfils,R,193.0,FRA,18.9,7-5 4-6 7-6(5) 0-6 7-5,5,R128,237.0,3.0,5.0,179.0,119.0,81.0,29.0,26.0,12.0,16.0,22.0,5.0,147.0,78.0,67.0,39.0,26.0,1.0,3.0,97.0,431.0,43.0,825.0
2005-D030,Davis Cup G1 R1: SCG vs ZIM,Clay,4,D,20050304,1,104925,,,Novak Djokovic,R,188.0,SRB,17.7,103413,,,Genius Chidzikwe,R,,ZIM,25.5,6-4 6-0 6-4,5,RR,,,,,,,,,,,,,,,,,,,,160.0,283.0,950.0,8.0
2006-1536,Madrid Masters,Hard,48,M,20061016,27,104925,15.0,,Novak Djokovic,R,188.0,SRB,19.4,104755,,,Richard Gasquet,R,185.0,FRA,20.3,7-6(2) 1-6 6-1,3,R32,98.0,9.0,3.0,72.0,47.0,38.0,13.0,13.0,3.0,6.0,5.0,3.0,82.0,51.0,37.0,15.0,13.0,2.0,5.0,17.0,1360.0,27.0,1045.0
2006-1536,Madrid Masters,Hard,48,M,20061016,38,104925,15.0,,Novak Djokovic,R,188.0,SRB,19.4,104918,,,Andy Murray,R,190.0,GBR,19.4,1-6 7-5 6-3,3,R16,131.0,3.0,3.0,90.0,49.0,35.0,21.0,14.0,4.0,7.0,5.0,2.0,86.0,39.0,27.0,27.0,14.0,3.0,6.0,17.0,1360.0,19.0,1295.0
2006-2276,Zagreb,Carpet,32,A,20060130,6,104925,,,Novak Djokovic,R,188.0,SRB,18.6,103503,,,Robin Vik,R,183.0,CZE,25.9,6-1 7-5,3,R32,79.0,4.0,2.0,65.0,37.0,27.0,15.0,10.0,5.0,7.0,3.0,8.0,68.0,33.0,17.0,16.0,9.0,6.0,11.0,81.0,487.0,59.0,605.0
2006-2276,Zagreb,Carpet,32,A,20060130,19,104925,,,Novak Djokovic,R,188.0,SRB,18.6,103285,4.0,,Radek Stepanek,R,185.0,CZE,27.1,6-3 6-4,3,R16,83.0,7.0,3.0,60.0,33.0,26.0,15.0,10.0,1.0,2.0,4.0,2.0,53.0,34.0,22.0,9.0,9.0,4.0,7.0,81.0,487.0,21.0,1400.0
2006-2276,Zagreb,Carpet,32,A,20060130,26,104925,,,Novak Djokovic,R,188.0,SRB,18.6,104592,,Q,Ilija Bozoljac,R,193.0,SRB,20.4,6-2 6-3,3,QF,60.0,10.0,0.0,49.0,34.0,29.0,9.0,9.0,2.0,2.0,10.0,2.0,44.0,27.0,20.0,7.0,8.0,1.0,4.0,81.0,487.0,215.0,173.0
2006-317,Amersfoort,Clay,32,A,20060717,5,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.1,104081,,,Boris Pashanski,R,180.0,SRB,23.7,6-0 6-3,3,R32,82.0,3.0,2.0,55.0,33.0,21.0,14.0,8.0,0.0,1.0,0.0,3.0,60.0,31.0,12.0,15.0,7.0,5.0,10.0,36.0,901.0,73.0,537.0
2006-317,Amersfoort,Clay,32,A,20060717,19,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.1,102720,,,Tomas Zib,R,178.0,CZE,30.4,6-4 6-2,3,R16,86.0,13.0,4.0,61.0,41.0,33.0,11.0,9.0,4.0,4.0,1.0,2.0,73.0,36.0,24.0,17.0,9.0,9.0,12.0,36.0,901.0,127.0,355.0
2006-317,Amersfoort,Clay,32,A,20060717,26,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.1,102967,,,Marc Gicquel,R,188.0,FRA,29.2,6-3 6-4,3,QF,75.0,5.0,3.0,61.0,37.0,30.0,10.0,10.0,2.0,3.0,1.0,2.0,61.0,36.0,27.0,6.0,9.0,4.0,7.0,36.0,901.0,87.0,481.0
2006-317,Amersfoort,Clay,32,A,20060717,29,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.1,103909,1.0,,Guillermo Coria,R,175.0,ARG,24.5,6-2 1-0 RET,3,SF,38.0,2.0,0.0,26.0,17.0,12.0,7.0,5.0,1.0,2.0,0.0,5.0,21.0,9.0,4.0,3.0,4.0,0.0,3.0,36.0,901.0,28.0,1035.0
2006-317,Amersfoort,Clay,32,A,20060717,31,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.1,103454,4.0,,Nicolas Massu,R,183.0,CHI,26.7,7-6(5) 6-4,3,F,162.0,9.0,3.0,68.0,36.0,27.0,16.0,11.0,2.0,4.0,11.0,4.0,89.0,40.0,27.0,25.0,11.0,7.0,10.0,36.0,901.0,37.0,890.0
2006-341,Metz,Hard,32,A,20061002,12,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.3,103917,,,Nicolas Mahut,R,190.0,FRA,24.6,6-2 6-3,3,R32,64.0,4.0,1.0,52.0,27.0,21.0,17.0,9.0,2.0,2.0,4.0,5.0,45.0,25.0,18.0,7.0,8.0,3.0,6.0,22.0,1183.0,67.0,591.0
2006-341,Metz,Hard,32,A,20061002,22,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.3,103110,,,Daniele Bracciali,R,180.0,ITA,28.7,6-0 6-3,3,R16,60.0,8.0,1.0,49.0,32.0,25.0,10.0,8.0,2.0,2.0,4.0,6.0,46.0,21.0,14.0,8.0,7.0,4.0,8.0,22.0,1183.0,66.0,601.0
2006-341,Metz,Hard,32,A,20061002,27,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.3,103424,,Q,Tobias Clemens,R,185.0,GER,27.1,6-4 6-1,3,QF,59.0,9.0,1.0,47.0,26.0,22.0,13.0,9.0,0.0,1.0,1.0,6.0,50.0,25.0,14.0,12.0,8.0,2.0,6.0,22.0,1183.0,265.0,149.0
2006-341,Metz,Hard,32,A,20061002,30,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.3,103206,,,Sebastien Grosjean,R,175.0,FRA,28.3,6-7(4) 7-6(1) 6-3,3,SF,165.0,6.0,2.0,111.0,69.0,50.0,22.0,17.0,6.0,9.0,10.0,0.0,107.0,57.0,41.0,25.0,16.0,5.0,9.0,22.0,1183.0,35.0,910.0
2006-341,Metz,Hard,32,A,20061002,31,104925,3.0,,Novak Djokovic,R,188.0,SRB,19.3,103781,,,Jurgen Melzer,L,183.0,AUT,25.3,4-6 6-3 6-2,3,F,111.0,10.0,1.0,88.0,58.0,41.0,16.0,14.0,7.0,9.0,2.0,5.0,90.0,45.0,31.0,20.0,13.0,7.0,11.0,22.0,1183.0,48.0,755.0
2006-403,Miami Masters,Hard,96,M,20060320,16,104925,,,Novak Djokovic,R,188.0,SRB,18.8,103908,,,Paul Henri Mathieu,R,185.0,FRA,24.1,6-1 6-3,3,R128,57.0,8.0,1.0,36.0,26.0,26.0,6.0,8.0,0.0,0.0,3.0,2.0,50.0,30.0,18.0,8.0,8.0,3.0,7.0,66.0,596.0,37.0,853.0
2006-414,Hamburg Masters,Clay,64,M,20060515,20,104925,,Q,Novak Djokovic,R,188.0,SRB,18.9,103909,10.0,,Guillermo Coria,R,175.0,ARG,24.3,6-3 3-6 6-3,3,R64,138.0,0.0,1.0,93.0,64.0,35.0,19.0,14.0,9.0,13.0,0.0,10.0,84.0,53.0,34.0,12.0,13.0,9.0,14.0,71.0,577.0,21.0,1345.0
2006-422,Cincinnati Masters,Hard,64,M,20060814,20,104925,,,Novak Djokovic,R,188.0,SRB,19.2,103813,12.0,,Jarkko Nieminen,L,185.0,FIN,25.0,7-6(5) 6-4,3,R64,102.0,5.0,4.0,82.0,44.0,29.0,25.0,11.0,3.0,3.0,3.0,0.0,78.0,51.0,37.0,12.0,11.0,1.0,2.0,24.0,1168.0,15.0,1680.0
2006-439,Umag,Clay,32,A,20060724,5,104925,4.0,,Novak Djokovic,R,188.0,SRB,19.1,105231,,WC,Luka Belic,R,,CRO,17.7,6-3 6-3,3,R32,60.0,3.0,2.0,46.0,34.0,25.0,7.0,9.0,0.0,2.0,3.0,2.0,53.0,33.0,21.0,8.0,9.0,6.0,11.0,28.0,1071.0,1543.0,1.0
2006-439,Umag,Clay,32,A,20060724,19,104925,4.0,,Novak Djokovic,R,188.0,SRB,19.1,103702,,Q,Stefano Ianni,R,,ITA,25.4,6-3 6-4,3,R16,172.0,3.0,1.0,56.0,35.0,29.0,12.0,10.0,3.0,4.0,0.0,4.0,57.0,26.0,19.0,13.0,9.0,5.0,8.0,28.0,1071.0,559.0,43.0
2006-439,Umag,Clay,32,A,20060724,26,104925,4.0,,Novak Djokovic,R,188.0,SRB,19.1,103181,,,Jiri Vanek,R,185.0,CZE,28.2,6-1 3-6 7-5,3,QF,110.0,6.0,6.0,80.0,45.0,29.0,18.0,14.0,3.0,8.0,3.0,1.0,79.0,52.0,31.0,10.0,14.0,3.0,10.0,28.0,1071.0,110.0,389.0
2006-439,Umag,Clay,32,A,20060724,29,104925,4.0,,Novak Djokovic,R,188.0,SRB,19.1,102845,5.0,,Carlos Moya,R,190.0,ESP,29.9,6-1 7-5,3,SF,82.0,0.0,3.0,61.0,41.0,30.0,11.0,10.0,2.0,3.0,3.0,0.0,50.0,30.0,14.0,12.0,9.0,2.0,6.0,28.0,1071.0,42.0,830.0
2006-440,s Hertogenbosch,Grass,32,A,20060619,9,104925,8.0,,Novak Djokovic,R,188.0,SRB,19.0,102565,,,Alexander Waske,R,188.0,GER,31.2,6-7(9) 7-6(4) 7-6(4),3,R32,182.0,10.0,9.0,121.0,68.0,59.0,28.0,18.0,2.0,3.0,18.0,12.0,126.0,77.0,61.0,28.0,18.0,2.0,3.0,40.0,827.0,89.0,455.0
2006-520,Roland Garros,Clay,128,G,20060529,92,104925,,,Novak Djokovic,R,188.0,SRB,19.0,103602,9.0,,Fernando Gonzalez,R,183.0,CHI,25.8,6-4 6-1 3-6 4-6 6-1,5,R64,183.0,6.0,1.0,153.0,105.0,75.0,26.0,22.0,12.0,15.0,9.0,4.0,114.0,73.0,53.0,18.0,21.0,4.0,10.0,63.0,627.0,9.0,1780.0
2006-520,Roland Garros,Clay,128,G,20060529,110,104925,,,Novak Djokovic,R,188.0,SRB,19.0,103163,23.0,,Tommy Haas,R,188.0,GER,28.1,7-5 6-1 7-6(4),5,R32,134.0,6.0,3.0,80.0,57.0,43.0,16.0,15.0,2.0,4.0,5.0,2.0,101.0,60.0,40.0,19.0,16.0,6.0,12.0,63.0,627.0,25.0,1250.0
2006-520,Roland Garros,Clay,128,G,20060529,119,104925,,,Novak Djokovic,R,188.0,SRB,19.0,104792,25.0,,Gael Monfils,R,193.0,FRA,19.7,7-6(5) 7-6(5) 6-3,5,R16,153.0,7.0,4.0,101.0,59.0,44.0,28.0,17.0,3.0,6.0,6.0,3.0,101.0,48.0,35.0,29.0,16.0,5.0,9.0,63.0,627.0,28.0,1100.0
2006-540,Wimbledon,Grass,128,G,20060626,10,104925,,,Novak Djokovic,R,188.0,SRB,19.0,102834,,,Paul Goldstein,R,178.0,USA,29.8,6-3 6-2 7-6(3),5,R128,124.0,8.0,4.0,98.0,59.0,46.0,19.0,15.0,4.0,6.0,1.0,5.0,87.0,43.0,31.0,21.0,14.0,3.0,8.0,39.0,841.0,65.0,611.0
2006-540,Wimbledon,Grass,128,G,20060626,69,104925,,,Novak Djokovic,R,188.0,SRB,19.0,103990,11.0,,Tommy Robredo,R,180.0,ESP,24.1,7-6(5) 6-2 6-4,5,R64,133.0,2.0,3.0,94.0,63.0,46.0,15.0,15.0,2.0,5.0,1.0,3.0,107.0,74.0,45.0,12.0,15.0,9.0,15.0,39.0,841.0,8.0,1920.0
2006-540,Wimbledon,Grass,128,G,20060626,99,104925,,,Novak Djokovic,R,188.0,SRB,19.0,104022,,,Mikhail Youzhny,R,183.0,RUS,24.0,4-6 6-2 6-3 6-3,5,R32,156.0,7.0,3.0,111.0,71.0,56.0,22.0,18.0,4.0,5.0,6.0,2.0,98.0,63.0,41.0,20.0,18.0,1.0,6.0,39.0,841.0,41.0,830.0
2006-560,US Open,Hard,128,G,20060828,44,104925,20.0,,Novak Djokovic,R,188.0,SRB,19.2,105385,,WC,Donald Young,L,183.0,USA,17.0,4-6 6-3 6-0 6-1,5,R128,101.0,8.0,4.0,102.0,70.0,51.0,18.0,16.0,7.0,8.0,4.0,8.0,87.0,44.0,24.0,20.0,16.0,2.0,9.0,23.0,1183.0,577.0,40.0
2006-560,US Open,Hard,128,G,20060828,86,104925,20.0,,Novak Djokovic,R,188.0,SRB,19.2,103888,,,Mardy Fish,R,188.0,USA,24.7,7-6(5) 6-4 3-6 7-6(3),5,R64,191.0,9.0,8.0,148.0,92.0,71.0,33.0,21.0,9.0,10.0,21.0,4.0,144.0,72.0,59.0,45.0,22.0,6.0,7.0,23.0,1183.0,60.0,651.0
2006-D023,Davis Cup WG PO: SUI vs SCG,Hard,4,D,20060922,2,104925,,,Novak Djokovic,R,188.0,SRB,19.3,104527,,,Stan Wawrinka,R,183.0,SUI,21.4,6-4 3-6 2-6 7-6(3) 6-4,5,RR,,,,,,,,,,,,,,,,,,,,21.0,1183.0,44.0,803.0
2006-D041,Davis Cup G1 R1: ISR vs SCG,Hard,4,D,20060210,4,104925,,,Novak Djokovic,R,188.0,SRB,18.7,104534,,,Dudi Sela,R,175.0,ISR,20.8,6-1 6-2 7-6(3),5,RR,,,,,,,,,,,,,,,,,,,,70.0,562.0,170.0,235.0
2006-D044,Davis Cup G1 R2: GBR vs SCG,Carpet,4,D,20060407,4,104925,,,Novak Djokovic,R,188.0,SRB,18.8,102257,,,Greg Rusedski,L,193.0,GBR,32.5,6-3 4-6 6-3 7-6(6),5,RR,,,,,,,,,,,,,,,,,,,,64.0,616.0,49.0,790.0
2007-1536,Madrid Masters,Hard,48,M,20071015,28,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.3,104269,,,Fernando Verdasco,L,188.0,ESP,23.9,6-7(7) 6-3 6-3,3,R32,154.0,6.0,4.0,112.0,61.0,47.0,28.0,15.0,10.0,10.0,2.0,4.0,90.0,67.0,49.0,9.0,15.0,2.0,5.0,3.0,4370.0,32.0,905.0
2007-1536,Madrid Masters,Hard,48,M,20071015,43,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.3,104339,,,Mario Ancic,R,196.0,CRO,23.5,7-6(2) 6-2,3,QF,105.0,8.0,4.0,70.0,38.0,33.0,18.0,10.0,6.0,6.0,6.0,2.0,65.0,38.0,30.0,12.0,10.0,0.0,2.0,3.0,4370.0,49.0,675.0
2007-337,Vienna,Hard,32,A,20071007,1,104925,1.0,,Novak Djokovic,R,188.0,SRB,20.3,104068,,,Robby Ginepri,R,183.0,USA,25.0,6-3 6-4,3,R32,77.0,5.0,3.0,55.0,34.0,22.0,12.0,10.0,0.0,3.0,5.0,0.0,54.0,35.0,21.0,5.0,9.0,4.0,9.0,3.0,4145.0,70.0,535.0
2007-337,Vienna,Hard,32,A,20071007,29,104925,1.0,,Novak Djokovic,R,188.0,SRB,20.3,104312,,,Andreas Seppi,R,190.0,ITA,23.6,6-4 6-3,3,SF,106.0,4.0,2.0,78.0,48.0,37.0,12.0,10.0,6.0,7.0,1.0,2.0,56.0,33.0,22.0,9.0,9.0,4.0,7.0,3.0,4145.0,73.0,529.0
2007-337,Vienna,Hard,32,A,20071007,31,104925,1.0,,Novak Djokovic,R,188.0,SRB,20.3,104527,,,Stan Wawrinka,R,183.0,SUI,22.5,6-4 6-0,3,F,76.0,1.0,0.0,46.0,33.0,26.0,9.0,8.0,1.0,1.0,2.0,2.0,55.0,36.0,24.0,4.0,8.0,4.0,8.0,3.0,4145.0,41.0,745.0
2007-339,Adelaide,Hard,32,A,20070101,534,104925,1.0,,Novak Djokovic,R,188.0,SRB,19.6,104589,,WC,Chris Guccione,L,201.0,AUS,21.4,6-3 6-7(6) 6-4,3,F,147.0,4.0,6.0,118.0,71.0,50.0,26.0,15.0,5.0,6.0,14.0,5.0,106.0,63.0,48.0,17.0,16.0,6.0,10.0,16.0,1380.0,153.0,287.0
2007-339,Adelaide,Hard,32,A,20070101,531,104925,1.0,,Novak Djokovic,R,188.0,SRB,19.6,104225,,,Jan Hajek,R,180.0,CZE,23.4,6-0 6-1,3,RR,58.0,9.0,1.0,40.0,28.0,23.0,5.0,6.0,1.0,1.0,3.0,3.0,57.0,28.0,18.0,5.0,7.0,9.0,15.0,16.0,1380.0,76.0,509.0
2007-339,Adelaide,Hard,32,A,20070101,532,104925,1.0,,Novak Djokovic,R,188.0,SRB,19.6,103553,,WC,Alun Jones,R,180.0,AUS,26.6,6-1 6-2,3,RR,54.0,2.0,3.0,45.0,30.0,26.0,9.0,8.0,3.0,3.0,0.0,2.0,47.0,32.0,19.0,5.0,7.0,4.0,8.0,16.0,1380.0,200.0,194.0
2007-403,Miami Masters,Hard,96,M,20070319,78,104925,10.0,,Novak Djokovic,R,188.0,SRB,19.8,103566,,,Michael Llodra,L,190.0,FRA,26.8,6-4 6-1,3,R32,60.0,1.0,1.0,44.0,27.0,23.0,13.0,9.0,0.0,0.0,3.0,3.0,48.0,27.0,16.0,10.0,8.0,2.0,5.0,10.0,2060.0,76.0,514.0
2007-403,Miami Masters,Hard,96,M,20070319,87,104925,10.0,,Novak Djokovic,R,188.0,SRB,19.8,103852,,Q,Feliciano Lopez,L,188.0,ESP,25.4,6-0 6-3,3,R16,57.0,4.0,1.0,41.0,28.0,24.0,9.0,8.0,1.0,1.0,1.0,2.0,40.0,29.0,17.0,3.0,7.0,4.0,8.0,10.0,2060.0,84.0,481.0
2007-403,Miami Masters,Hard,96,M,20070319,95,104925,10.0,,Novak Djokovic,R,188.0,SRB,19.8,103084,,Q,Guillermo Canas,R,185.0,ARG,29.3,6-3 6-2 6-4,5,F,140.0,7.0,1.0,96.0,64.0,44.0,23.0,14.0,5.0,5.0,6.0,5.0,69.0,37.0,24.0,16.0,13.0,3.0,7.0,10.0,2060.0,55.0,652.0
2007-404,Indian Wells Masters,Hard,96,M,20070305,37,104925,12.0,,Novak Djokovic,R,188.0,SRB,19.7,104068,,,Robby Ginepri,R,183.0,USA,24.4,6-4 6-4,3,R64,82.0,2.0,4.0,63.0,35.0,24.0,14.0,10.0,1.0,4.0,6.0,1.0,67.0,39.0,24.0,11.0,10.0,7.0,12.0,13.0,1715.0,43.0,765.0
2007-404,Indian Wells Masters,Hard,96,M,20070305,67,104925,12.0,,Novak Djokovic,R,188.0,SRB,19.7,105095,,,Evgeny Korolev,R,185.0,KAZ,19.0,6-2 6-1,3,R32,55.0,2.0,2.0,43.0,25.0,23.0,8.0,8.0,2.0,3.0,3.0,2.0,49.0,26.0,9.0,11.0,7.0,5.0,10.0,13.0,1715.0,71.0,511.0
2007-404,Indian Wells Masters,Hard,96,M,20070305,82,104925,12.0,,Novak Djokovic,R,188.0,SRB,19.7,103898,,,Julien Benneteau,R,185.0,FRA,25.2,6-3 6-1,3,R16,91.0,7.0,1.0,65.0,46.0,30.0,10.0,8.0,10.0,11.0,4.0,3.0,60.0,32.0,19.0,10.0,8.0,3.0,8.0,13.0,1715.0,46.0,757.0
2007-404,Indian Wells Masters,Hard,96,M,20070305,89,104925,12.0,,Novak Djokovic,R,188.0,SRB,19.7,103970,14.0,,David Ferrer,R,175.0,ESP,24.9,6-3 6-4,3,QF,77.0,4.0,2.0,58.0,39.0,30.0,11.0,10.0,3.0,4.0,3.0,3.0,49.0,33.0,20.0,8.0,9.0,2.0,5.0,13.0,1715.0,15.0,1645.0
2007-407,Rotterdam,Hard,32,A,20070219,13,104925,5.0,,Novak Djokovic,R,188.0,SRB,19.7,103722,,Q,Florent Serra,R,180.0,FRA,25.9,7-6(6) 6-4,3,R32,88.0,5.0,0.0,67.0,49.0,38.0,11.0,11.0,0.0,0.0,5.0,0.0,71.0,52.0,37.0,11.0,11.0,2.0,3.0,14.0,1625.0,67.0,540.0
2007-407,Rotterdam,Hard,32,A,20070219,28,104925,5.0,,Novak Djokovic,R,188.0,SRB,19.7,103990,2.0,,Tommy Robredo,R,180.0,ESP,24.8,4-6 6-4 7-5,3,QF,146.0,4.0,2.0,93.0,65.0,49.0,11.0,16.0,2.0,5.0,6.0,0.0,94.0,54.0,38.0,20.0,16.0,6.0,10.0,14.0,1625.0,7.0,2555.0
2007-410,Monte Carlo Masters,Clay,56,M,20070415,28,104925,6.0,,Novak Djokovic,R,188.0,SRB,19.9,103292,,,Gaston Gaudio,R,175.0,ARG,28.3,6-1 3-6 6-1,3,R32,102.0,3.0,2.0,66.0,36.0,27.0,13.0,12.0,4.0,8.0,1.0,4.0,85.0,57.0,24.0,14.0,11.0,8.0,15.0,7.0,2540.0,45.0,740.0
2007-414,Hamburg Masters,Clay,56,M,20070514,29,104925,4.0,,Novak Djokovic,R,188.0,SRB,19.9,103898,,,Julien Benneteau,R,185.0,FRA,25.3,7-6(5) 6-3,3,R32,113.0,9.0,1.0,63.0,44.0,32.0,13.0,10.0,3.0,4.0,3.0,3.0,77.0,46.0,28.0,17.0,11.0,3.0,6.0,6.0,2735.0,38.0,822.0
2007-414,Hamburg Masters,Clay,56,M,20070514,43,104925,4.0,,Novak Djokovic,R,188.0,SRB,19.9,103813,,,Jarkko Nieminen,L,185.0,FIN,25.8,7-5 4-6 6-4,3,R16,158.0,2.0,0.0,123.0,79.0,44.0,22.0,16.0,14.0,20.0,3.0,0.0,101.0,68.0,45.0,13.0,16.0,4.0,11.0,6.0,2735.0,23.0,1170.0
