tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-1720,Bangkok,Hard,32,A,20040927,7,102615,,,Dennis Van Scheppingen,R,185.0,NED,29.2,104925,,WC,Novak Djokovic,R,188.0,SRB,17.3,4-6 7-5 6-4,3,R32,112.0,7.0,7.0,88.0,57.0,39.0,18.0,16.0,3.0,7.0,15.0,12.0,118.0,70.0,45.0,22.0,16.0,10.0,15.0,81.0,496.0,248.0,148.0
2004-439,Umag,Clay,32,A,20040719,5,103835,4.0,,Filippo Volandri,R,183.0,ITA,22.8,104925,,Q,Novak Djokovic,R,188.0,SRB,17.1,7-6(5) 6-1,3,R32,90.0,0.0,7.0,74.0,39.0,22.0,18.0,10.0,6.0,10.0,4.0,6.0,65.0,40.0,20.0,6.0,9.0,2.0,8.0,65.0,630.0,368.0,83.0
2004-773,Bucharest,Clay,32,A,20040913,23,103970,6.0,,David Ferrer,R,175.0,ESP,22.4,104925,,Q,Novak Djokovic,R,188.0,SRB,17.3,4-6 6-4 6-4,3,R16,155.0,1.0,2.0,107.0,61.0,34.0,25.0,15.0,14.0,19.0,3.0,1.0,98.0,62.0,37.0,14.0,15.0,5.0,11.0,54.0,714.0,272.0,128.0
2005-352,Paris Masters,Carpet,48,M,20051031,35,103990,14.0,,Tommy Robredo,R,180.0,ESP,23.5,104925,,Q,Novak Djokovic,R,188.0,SRB,18.4,6-4 6-3,3,R16,81.0,6.0,3.0,57.0,33.0,27.0,11.0,9.0,3.0,4.0,4.0,3.0,78.0,41.0,27.0,15.0,10.0,9.0,13.0,21.0,1370.0,85.0,488.0
2005-375,Lyon,Carpet,32,A,20051024,24,103694,,,Olivier Rochus,R,168.0,BEL,24.7,104925,,,Novak Djokovic,R,188.0,SRB,18.4,7-6(4) 7-5,3,R16,114.0,2.0,1.0,76.0,58.0,46.0,9.0,12.0,1.0,2.0,13.0,3.0,95.0,64.0,44.0,15.0,12.0,9.0,11.0,24.0,1160.0,88.0,468.0
2005-439,Umag,Clay,32,A,20050725,23,103507,7.0,,Juan Carlos Ferrero,R,183.0,ESP,25.4,104925,,,Novak Djokovic,R,188.0,SRB,18.1,6-4 6-2,3,R16,78.0,0.0,2.0,55.0,43.0,30.0,6.0,9.0,2.0,4.0,1.0,6.0,62.0,37.0,22.0,8.0,9.0,10.0,15.0,28.0,1170.0,97.0,417.0
2005-520,Roland Garros,Clay,128,G,20050523,81,103909,8.0,,Guillermo Coria,R,175.0,ARG,23.3,104925,,Q,Novak Djokovic,R,188.0,SRB,18.0,4-6 6-2 3-2 RET,5,R64,114.0,0.0,7.0,84.0,59.0,37.0,10.0,11.0,8.0,12.0,3.0,3.0,80.0,42.0,23.0,17.0,12.0,5.0,11.0,9.0,2040.0,153.0,287.0
2005-540,Wimbledon,Grass,128,G,20050620,110,103206,9.0,,Sebastien Grosjean,R,175.0,FRA,27.0,104925,,Q,Novak Djokovic,R,188.0,SRB,18.0,7-5 6-4 5-7 6-4,5,R32,171.0,7.0,3.0,140.0,79.0,60.0,35.0,22.0,3.0,4.0,6.0,4.0,126.0,88.0,66.0,21.0,22.0,6.0,9.0,27.0,1215.0,128.0,337.0
2005-573,Valencia,Clay,32,A,20050404,14,102179,,,Antony Dupuis,R,185.0,FRA,32.1,104925,,Q,Novak Djokovic,R,188.0,SRB,17.8,6-4 7-5,3,R32,96.0,2.0,1.0,68.0,34.0,23.0,18.0,11.0,5.0,8.0,2.0,4.0,69.0,41.0,29.0,7.0,11.0,5.0,10.0,114.0,368.0,160.0,282.0
2005-580,Australian Open,Hard,128,G,20050117,17,103498,4.0,,Marat Safin,R,193.0,RUS,24.9,104925,,Q,Novak Djokovic,R,188.0,SRB,17.6,6-0 6-2 6-1,5,R128,74.0,1.0,1.0,51.0,27.0,25.0,13.0,10.0,0.0,1.0,1.0,5.0,66.0,39.0,16.0,5.0,11.0,4.0,13.0,4.0,3060.0,188.0,229.0
2005-D033,Davis Cup G1 R2: SCG vs BEL,Clay,4,D,20050429,2,103694,,,Olivier Rochus,R,168.0,BEL,24.2,104925,,,Novak Djokovic,R,188.0,SRB,17.9,1-6 7-5 6-7(3) 6-1 6-3,5,RR,,,,,,,,,,,,,,,,,,,,33.0,991.0,142.0,304.0
2005-D033,Davis Cup G1 R2: SCG vs BEL,Clay,4,D,20050429,5,104019,,,Kristof Vliegen,R,193.0,BEL,22.8,104925,,,Novak Djokovic,R,188.0,SRB,17.9,6-3 6-3 3-6 6-2,5,RR,,,,,,,,,,,,,,,,,,,,104.0,422.0,142.0,304.0
2006-1536,Madrid Masters,Hard,48,M,20061016,43,103602,10.0,,Fernando Gonzalez,R,183.0,CHI,26.2,104925,15.0,,Novak Djokovic,R,188.0,SRB,19.4,7-5 5-7 7-5,3,QF,141.0,8.0,4.0,97.0,55.0,45.0,22.0,18.0,2.0,5.0,5.0,3.0,108.0,75.0,52.0,16.0,18.0,7.0,11.0,10.0,1965.0,17.0,1360.0
