tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2006-321,Stuttgart,Clay,48,A,20060717,25,105223,,Q,Juan Martin del Potro,R,198.0,ARG,17.8,103428,8.0,,Juan Ignacio Chela,R,190.0,ARG,26.8,6-2 4-6 6-1,3,R32,122.0,0.0,8.0,102.0,78.0,49.0,10.0,13.0,10.0,13.0,0.0,4.0,85.0,53.0,28.0,13.0,12.0,6.0,12.0,147.0,299.0,44.0,820.0
2006-328,Basel,Carpet,32,A,20061023,9,105223,,WC,Juan Martin del Potro,R,198.0,ARG,18.0,103424,,LL,Tobias Clemens,R,185.0,GER,27.1,3-6 6-3 6-2,3,R32,103.0,4.0,1.0,77.0,56.0,43.0,10.0,13.0,1.0,3.0,6.0,3.0,82.0,46.0,33.0,16.0,13.0,6.0,10.0,91.0,436.0,207.0,194.0
2006-328,Basel,Carpet,32,A,20061023,21,105223,,WC,Juan Martin del Potro,R,198.0,ARG,18.0,102567,,WC,George Bastl,R,183.0,SUI,31.5,6-3 6-2,3,R16,77.0,2.0,4.0,53.0,31.0,25.0,12.0,8.0,3.0,3.0,4.0,2.0,53.0,33.0,18.0,9.0,9.0,3.0,7.0,91.0,436.0,157.0,271.0
2006-329,Tokyo,Hard,48,A,20061002,9,105223,,,Juan Martin del Potro,R,198.0,ARG,18.0,104424,,WC,Go Soeda,R,178.0,JPN,22.0,6-3 6-1,3,R64,73.0,3.0,2.0,47.0,31.0,25.0,10.0,8.0,2.0,2.0,2.0,2.0,49.0,27.0,14.0,11.0,8.0,3.0,7.0,103.0,409.0,193.0,207.0
2006-329,Tokyo,Hard,48,A,20061002,25,105223,,,Juan Martin del Potro,R,198.0,ARG,18.0,104068,7.0,,Robby Ginepri,R,183.0,USA,23.9,6-2 6-2,3,R32,64.0,4.0,3.0,51.0,34.0,28.0,6.0,8.0,5.0,6.0,6.0,1.0,58.0,39.0,20.0,6.0,8.0,6.0,11.0,103.0,409.0,39.0,830.0
2006-3465,Mumbai,Hard,32,A,20060925,4,105223,,,Juan Martin del Potro,R,198.0,ARG,18.0,102845,5.0,,Carlos Moya,R,190.0,ESP,30.0,6-3 6-2,3,R32,64.0,1.0,3.0,54.0,40.0,32.0,5.0,9.0,1.0,2.0,6.0,1.0,42.0,20.0,12.0,8.0,8.0,2.0,6.0,106.0,399.0,43.0,825.0
2006-439,Umag,Clay,32,A,20060724,11,105223,,WC,Juan Martin del Potro,R,198.0,ARG,17.8,103171,,,Raemon Sluiter,R,185.0,NED,28.2,6-3 6-2,3,R32,59.0,6.0,3.0,48.0,36.0,30.0,7.0,9.0,2.0,2.0,2.0,1.0,42.0,25.0,17.0,8.0,8.0,0.0,3.0,133.0,328.0,94.0,437.0
2006-439,Umag,Clay,32,A,20060724,22,105223,,WC,Juan Martin del Potro,R,198.0,ARG,17.8,103503,,,Robin Vik,R,183.0,CZE,26.4,2-6 6-4 6-3,3,R16,121.0,3.0,4.0,94.0,70.0,40.0,11.0,14.0,4.0,9.0,3.0,1.0,72.0,46.0,32.0,10.0,13.0,1.0,6.0,133.0,328.0,74.0,529.0
2007-1536,Madrid Masters,Hard,48,M,20071015,13,105223,,WC,Juan Martin del Potro,R,198.0,ARG,19.0,103808,,,Potito Starace,R,188.0,ITA,26.2,7-5 6-1,3,R64,78.0,10.0,1.0,51.0,35.0,27.0,12.0,10.0,1.0,2.0,1.0,2.0,58.0,31.0,14.0,16.0,9.0,3.0,7.0,53.0,634.0,27.0,951.0
2007-1536,Madrid Masters,Hard,48,M,20071015,29,105223,,WC,Juan Martin del Potro,R,198.0,ARG,19.0,103990,8.0,,Tommy Robredo,R,180.0,ESP,25.4,6-7(4) 6-4 6-3,3,R32,152.0,7.0,2.0,91.0,55.0,42.0,23.0,15.0,1.0,2.0,10.0,0.0,109.0,70.0,49.0,20.0,16.0,5.0,9.0,53.0,634.0,9.0,2035.0
2007-311,Queen's Club,Grass,56,A,20070611,1,105223,,,Juan Martin del Potro,R,198.0,ARG,18.7,102563,,,Thomas Johansson,R,180.0,SWE,32.2,6-2 6-4,3,R64,59.0,7.0,0.0,40.0,26.0,25.0,11.0,9.0,0.0,0.0,6.0,0.0,54.0,37.0,23.0,7.0,9.0,0.0,3.0,59.0,593.0,76.0,524.0
2007-328,Basel,Hard,32,A,20071022,2,105223,,,Juan Martin del Potro,R,198.0,ARG,19.0,103188,,,Michael Russell,R,173.0,USA,29.4,5-2 RET,3,R32,34.0,7.0,1.0,17.0,12.0,9.0,3.0,3.0,0.0,0.0,1.0,2.0,26.0,14.0,9.0,3.0,4.0,0.0,2.0,49.0,689.0,71.0,536.0
2007-3348,New Haven,Hard,48,A,20070819,2,105223,,,Juan Martin del Potro,R,198.0,ARG,18.9,104542,,,Jo-Wilfried Tsonga,R,188.0,FRA,22.3,3-6 6-3 6-4,3,R64,121.0,6.0,1.0,98.0,57.0,40.0,24.0,14.0,8.0,9.0,10.0,6.0,95.0,51.0,39.0,20.0,14.0,5.0,7.0,59.0,595.0,74.0,523.0
2007-339,Adelaide,Hard,32,A,20070101,535,105223,,,Juan Martin del Potro,R,198.0,ARG,18.2,104424,,Q,Go Soeda,R,178.0,JPN,22.3,6-3 6-2,3,ER,79.0,8.0,2.0,51.0,28.0,23.0,13.0,8.0,4.0,4.0,3.0,2.0,57.0,31.0,20.0,11.0,9.0,4.0,8.0,92.0,445.0,188.0,210.0
2007-339,Adelaide,Hard,32,A,20070101,539,105223,,,Juan Martin del Potro,R,198.0,ARG,18.2,103401,,,Jan Hernych,R,190.0,CZE,27.4,6-2 6-4,3,RR,73.0,7.0,1.0,43.0,29.0,24.0,7.0,9.0,1.0,3.0,0.0,0.0,64.0,46.0,20.0,10.0,9.0,10.0,15.0,92.0,445.0,75.0,511.0
2007-402,Memphis,Hard,32,A,20070219,11,105223,,,Juan Martin del Potro,R,198.0,ARG,18.4,103852,,,Feliciano Lopez,L,188.0,ESP,25.4,6-1 6-2,3,R32,50.0,1.0,3.0,42.0,24.0,21.0,12.0,8.0,1.0,1.0,1.0,2.0,38.0,25.0,13.0,5.0,7.0,3.0,7.0,69.0,535.0,93.0,446.0
2007-403,Miami Masters,Hard,96,M,20070319,30,105223,,,Juan Martin del Potro,R,198.0,ARG,18.4,102035,,,Jonas Bjorkman,R,183.0,SWE,34.9,7-5 6-1,3,R128,79.0,3.0,4.0,57.0,39.0,22.0,11.0,9.0,1.0,4.0,1.0,6.0,61.0,34.0,19.0,7.0,10.0,5.0,12.0,63.0,576.0,39.0,803.0
2007-403,Miami Masters,Hard,96,M,20070319,79,105223,,,Juan Martin del Potro,R,198.0,ARG,18.4,104022,16.0,,Mikhail Youzhny,R,183.0,RUS,24.7,7-6(2) 6-4,3,R32,97.0,6.0,1.0,70.0,45.0,31.0,15.0,11.0,1.0,3.0,0.0,4.0,71.0,44.0,32.0,9.0,11.0,2.0,5.0,63.0,576.0,17.0,1515.0
2007-422,Cincinnati Masters,Hard,56,M,20070813,9,105223,,Q,Juan Martin del Potro,R,198.0,ARG,18.8,103084,15.0,,Guillermo Canas,R,185.0,ARG,29.7,6-2 6-2,3,R64,75.0,4.0,3.0,52.0,32.0,20.0,13.0,8.0,4.0,5.0,4.0,2.0,47.0,22.0,11.0,11.0,8.0,5.0,10.0,78.0,519.0,14.0,1665.0
2007-422,Cincinnati Masters,Hard,56,M,20070813,30,105223,,Q,Juan Martin del Potro,R,198.0,ARG,18.8,104259,,,Philipp Kohlschreiber,R,178.0,GER,23.8,6-1 2-6 6-4,3,R32,105.0,9.0,0.0,78.0,45.0,30.0,18.0,13.0,6.0,9.0,5.0,2.0,71.0,50.0,30.0,10.0,12.0,0.0,4.0,78.0,519.0,37.0,805.0
