tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2006-1536,Madrid Masters,Hard,48,M,20061016,9,104026,,,Joachim Johansson,R,198.0,SWE,24.2,105223,,Q,Juan Martin del Potro,R,198.0,ARG,18.0,6-4 6-4,3,R64,75.0,17.0,3.0,63.0,44.0,34.0,11.0,10.0,8.0,8.0,3.0,0.0,57.0,45.0,30.0,9.0,10.0,4.0,6.0,292.0,127.0,96.0,422.0
2006-321,Stuttgart,Clay,48,A,20060717,37,104252,,,Florian Mayer,R,190.0,GER,22.7,105223,,Q,Juan Martin del Potro,R,198.0,ARG,17.8,6-1 6-0,3,R16,48.0,4.0,1.0,35.0,18.0,16.0,12.0,7.0,0.0,0.0,1.0,2.0,41.0,32.0,12.0,3.0,6.0,5.0,10.0,69.0,578.0,147.0,299.0
2006-328,Basel,Carpet,32,A,20061023,27,103602,3.0,,Fernando Gonzalez,R,183.0,CHI,26.2,105223,,WC,Juan Martin del Potro,R,198.0,ARG,18.0,5-7 6-4 6-4,3,QF,133.0,10.0,2.0,102.0,61.0,48.0,20.0,16.0,4.0,6.0,4.0,4.0,97.0,69.0,47.0,17.0,16.0,8.0,11.0,7.0,2190.0,91.0,436.0
2006-329,Tokyo,Hard,48,A,20061002,37,102450,10.0,,Tim Henman,R,185.0,GBR,32.0,105223,,,Juan Martin del Potro,R,198.0,ARG,18.0,7-6(3) 6-3,3,R16,100.0,7.0,3.0,67.0,39.0,29.0,18.0,11.0,1.0,2.0,2.0,1.0,83.0,59.0,33.0,15.0,10.0,5.0,7.0,55.0,685.0,103.0,409.0
2006-3465,Mumbai,Hard,32,A,20060925,18,102887,,,Ramon Delgado,R,185.0,PAR,29.8,105223,,,Juan Martin del Potro,R,198.0,ARG,18.0,6-3 4-1 RET,3,R16,75.0,4.0,0.0,47.0,28.0,20.0,13.0,7.0,8.0,8.0,3.0,1.0,41.0,31.0,17.0,5.0,7.0,1.0,4.0,126.0,352.0,106.0,399.0
2006-439,Umag,Clay,32,A,20060724,27,104527,,,Stan Wawrinka,R,183.0,SUI,21.3,105223,,WC,Juan Martin del Potro,R,198.0,ARG,17.8,6-1 2-6 6-4,3,QF,118.0,2.0,1.0,81.0,46.0,31.0,19.0,13.0,4.0,7.0,1.0,0.0,67.0,57.0,34.0,4.0,12.0,1.0,5.0,69.0,573.0,133.0,328.0
2006-505,Vina del Mar,Clay,32,A,20060130,24,103602,2.0,,Fernando Gonzalez,R,183.0,CHI,25.5,105223,,,Juan Martin del Potro,R,198.0,ARG,17.3,6-3 7-6(4),3,R16,95.0,2.0,2.0,80.0,40.0,29.0,18.0,11.0,7.0,11.0,0.0,2.0,68.0,52.0,29.0,6.0,10.0,1.0,6.0,14.0,1585.0,159.0,265.0
2006-506,Buenos Aires,Clay,32,A,20060213,12,103507,3.0,,Juan Carlos Ferrero,R,183.0,ESP,26.0,105223,,WC,Juan Martin del Potro,R,198.0,ARG,17.3,6-2 4-6 6-4,3,R32,137.0,4.0,1.0,82.0,58.0,36.0,14.0,14.0,6.0,10.0,2.0,2.0,108.0,81.0,44.0,12.0,14.0,7.0,13.0,18.0,1500.0,155.0,268.0
2006-520,Roland Garros,Clay,128,G,20060529,28,103507,24.0,,Juan Carlos Ferrero,R,183.0,ESP,26.2,105223,,Q,Juan Martin del Potro,R,198.0,ARG,17.6,6-3 2-6 6-2 6-4,5,R128,177.0,5.0,2.0,123.0,80.0,52.0,21.0,18.0,15.0,19.0,3.0,3.0,125.0,94.0,55.0,16.0,17.0,6.0,12.0,27.0,1145.0,140.0,307.0
2006-560,US Open,Hard,128,G,20060828,11,104268,,Q,Alejandro Falla,L,185.0,COL,22.7,105223,,Q,Juan Martin del Potro,R,198.0,ARG,17.9,7-6(3) 6-2 4-6 7-5,5,R128,190.0,6.0,5.0,153.0,101.0,69.0,25.0,21.0,11.0,16.0,3.0,6.0,131.0,79.0,53.0,23.0,21.0,8.0,15.0,129.0,334.0,114.0,380.0
2006-807,Acapulco,Clay,32,A,20060227,6,103656,,,Albert Montanes,R,175.0,ESP,25.2,105223,,WC,Juan Martin del Potro,R,198.0,ARG,17.4,6-2 5-3 RET,3,R32,67.0,1.0,1.0,40.0,25.0,21.0,12.0,8.0,1.0,1.0,0.0,2.0,57.0,46.0,24.0,5.0,8.0,5.0,8.0,96.0,401.0,146.0,278.0
2007-1720,Bangkok,Hard,32,A,20070924,10,104433,,,Frank Dancevic,R,185.0,CAN,22.9,105223,,,Juan Martin del Potro,R,198.0,ARG,19.0,6-4 1-6 7-6(4),3,R32,110.0,12.0,4.0,89.0,54.0,38.0,18.0,14.0,6.0,9.0,12.0,4.0,98.0,65.0,49.0,16.0,15.0,4.0,6.0,67.0,558.0,51.0,650.0
2007-301,Auckland,Hard,32,A,20070108,8,102860,7.0,,Agustin Calleri,R,183.0,ARG,30.3,105223,,,Juan Martin del Potro,R,198.0,ARG,18.2,6-1 6-3,3,R32,60.0,10.0,7.0,49.0,27.0,23.0,13.0,8.0,2.0,2.0,0.0,3.0,49.0,28.0,16.0,9.0,8.0,3.0,7.0,30.0,963.0,74.0,515.0
2007-3348,New Haven,Hard,48,A,20070819,18,104468,13.0,,Gilles Simon,R,183.0,FRA,22.6,105223,,,Juan Martin del Potro,R,198.0,ARG,18.9,7-6(3) 6-7(5) 7-5,3,R32,182.0,2.0,6.0,133.0,65.0,38.0,38.0,18.0,4.0,10.0,4.0,8.0,133.0,79.0,51.0,21.0,18.0,7.0,14.0,40.0,755.0,59.0,595.0
2007-402,Memphis,Hard,32,A,20070219,22,103888,4.0,,Mardy Fish,R,188.0,USA,25.1,105223,,,Juan Martin del Potro,R,198.0,ARG,18.4,6-1 7-6(9),3,R16,77.0,22.0,1.0,61.0,32.0,31.0,19.0,10.0,0.0,0.0,9.0,2.0,66.0,36.0,25.0,18.0,9.0,3.0,5.0,25.0,1104.0,69.0,535.0
