tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-1536,Madrid Masters,Hard,48,M,20041018,15,104745,,,Rafael Nadal,L,185.0,ESP,18.3,102106,,,Davide Sanguinetti,R,188.0,ITA,32.1,6-2 6-1,3,R64,62.0,2.0,4.0,47.0,27.0,23.0,9.0,8.0,5.0,6.0,1.0,2.0,41.0,21.0,11.0,6.0,7.0,3.0,8.0,50.0,755.0,75.0,521.0
2004-301,Auckland,Hard,32,A,20040112,12,104745,,,Rafael Nadal,L,185.0,ESP,17.6,102854,4.0,,Sjeng Schalken,R,193.0,NED,27.3,7-6(2) 6-4,3,R32,125.0,1.0,0.0,88.0,65.0,39.0,14.0,11.0,6.0,9.0,1.0,0.0,92.0,71.0,38.0,11.0,11.0,9.0,13.0,48.0,766.0,16.0,1445.0
2004-301,Auckland,Hard,32,A,20040112,30,104745,,,Rafael Nadal,L,185.0,ESP,17.6,102562,2.0,,Jiri Novak,R,190.0,CZE,28.8,6-1 6-3,3,SF,64.0,1.0,0.0,47.0,31.0,24.0,11.0,8.0,1.0,1.0,2.0,3.0,65.0,36.0,20.0,14.0,8.0,6.0,10.0,48.0,766.0,14.0,1510.0
2004-316,Bastad,Clay,32,A,20040705,14,104745,,,Rafael Nadal,L,185.0,ESP,18.0,103181,,LL,Jiri Vanek,R,185.0,CZE,26.1,4-6 6-4 6-3,3,R32,118.0,0.0,2.0,86.0,69.0,42.0,10.0,15.0,6.0,11.0,0.0,4.0,88.0,50.0,31.0,15.0,14.0,3.0,9.0,60.0,685.0,147.0,275.0
2004-316,Bastad,Clay,32,A,20040705,23,104745,,,Rafael Nadal,L,185.0,ESP,18.0,103490,,Q,Santiago Ventura,R,183.0,ESP,24.4,6-1 6-2,3,R16,59.0,0.0,2.0,40.0,31.0,25.0,7.0,8.0,0.0,0.0,5.0,4.0,58.0,27.0,19.0,9.0,7.0,6.0,10.0,60.0,685.0,142.0,281.0
2004-321,Stuttgart,Clay,48,A,20040712,27,104745,14.0,,Rafael Nadal,L,185.0,ESP,18.1,103506,,,Martin Vassallo Arguello,R,183.0,ARG,24.4,7-6(4) 6-4,3,R32,128.0,1.0,3.0,85.0,50.0,32.0,15.0,11.0,7.0,12.0,4.0,9.0,85.0,51.0,33.0,10.0,11.0,8.0,14.0,57.0,685.0,132.0,314.0
2004-321,Stuttgart,Clay,48,A,20040712,38,104745,14.0,,Rafael Nadal,L,185.0,ESP,18.1,103428,3.0,,Juan Ignacio Chela,R,190.0,ARG,24.8,6-2 6-3,3,R16,76.0,3.0,1.0,52.0,25.0,20.0,19.0,9.0,0.0,0.0,2.0,4.0,50.0,29.0,20.0,8.0,8.0,1.0,4.0,57.0,685.0,16.0,1320.0
2004-325,Palermo,Clay,32,A,20040927,8,104745,6.0,,Rafael Nadal,L,185.0,ESP,18.3,104597,,Q,Nicolas Almagro,R,183.0,ESP,19.1,6-1 7-5,3,R32,69.0,0.0,1.0,52.0,33.0,25.0,9.0,10.0,0.0,2.0,1.0,1.0,45.0,22.0,11.0,11.0,9.0,2.0,7.0,49.0,745.0,99.0,418.0
2004-403,Miami Masters,Hard,96,M,20040322,65,104745,32.0,,Rafael Nadal,L,185.0,ESP,17.8,103819,1.0,,Roger Federer,R,185.0,SUI,22.6,6-3 6-3,3,R32,70.0,1.0,2.0,48.0,39.0,31.0,5.0,9.0,0.0,0.0,8.0,2.0,56.0,34.0,21.0,13.0,9.0,4.0,7.0,34.0,973.0,1.0,5635.0
2004-404,Indian Wells Masters,Hard,96,M,20040308,28,104745,,,Rafael Nadal,L,185.0,ESP,17.7,102694,,,Lars Burgsmuller,R,183.0,GER,28.2,6-2 6-3,3,R128,71.0,0.0,1.0,68.0,42.0,30.0,14.0,9.0,8.0,9.0,2.0,1.0,46.0,27.0,18.0,5.0,8.0,3.0,7.0,36.0,953.0,76.0,481.0
2004-404,Indian Wells Masters,Hard,96,M,20040308,60,104745,,,Rafael Nadal,L,185.0,ESP,17.7,103454,11.0,,Nicolas Massu,R,183.0,CHI,24.4,6-3 1-0 RET,3,R64,47.0,3.0,1.0,30.0,21.0,15.0,6.0,5.0,0.0,0.0,5.0,2.0,42.0,28.0,18.0,5.0,5.0,6.0,8.0,36.0,953.0,12.0,1602.0
2004-408,Milan,Carpet,32,A,20040209,8,104745,6.0,,Rafael Nadal,L,185.0,ESP,17.6,103333,,,Ivo Karlovic,R,208.0,CRO,24.9,7-5 6-7(5) 6-1,3,R32,122.0,2.0,2.0,89.0,59.0,48.0,21.0,16.0,0.0,0.0,25.0,4.0,103.0,66.0,45.0,20.0,15.0,3.0,6.0,41.0,914.0,67.0,520.0
2004-468,Estoril,Clay,32,A,20040412,15,104745,,,Rafael Nadal,L,185.0,ESP,17.8,101964,,,Goran Ivanisevic,L,193.0,CRO,32.5,6-4 6-1,3,R32,66.0,3.0,5.0,53.0,33.0,24.0,11.0,9.0,1.0,2.0,6.0,5.0,51.0,23.0,16.0,11.0,8.0,2.0,6.0,34.0,978.0,505.0,45.0
2004-468,Estoril,Clay,32,A,20040412,24,104745,,,Rafael Nadal,L,185.0,ESP,17.8,104755,,,Richard Gasquet,R,185.0,FRA,17.8,6-4 3-6 6-2,3,R16,139.0,0.0,7.0,82.0,61.0,33.0,11.0,14.0,2.0,7.0,1.0,6.0,92.0,50.0,33.0,16.0,13.0,10.0,16.0,34.0,978.0,94.0,414.0
