tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-1536,Madrid Masters,Hard,48,M,20041018,31,102434,14.0,,Vincent Spadea,R,183.0,USA,30.2,104745,,,Rafael Nadal,L,185.0,ESP,18.3,6-4 4-6 6-3,3,R32,151.0,1.0,4.0,88.0,44.0,30.0,24.0,15.0,3.0,7.0,0.0,4.0,102.0,74.0,46.0,11.0,14.0,11.0,16.0,23.0,1200.0,50.0,755.0
2004-301,Auckland,Hard,32,A,20040112,31,103103,,,Dominik Hrbaty,R,183.0,SVK,26.0,104745,,,Rafael Nadal,L,185.0,ESP,17.6,4-6 6-2 7-5,3,F,135.0,2.0,4.0,106.0,73.0,46.0,18.0,15.0,8.0,11.0,0.0,4.0,106.0,62.0,36.0,22.0,15.0,11.0,16.0,54.0,639.0,48.0,766.0
2004-316,Bastad,Clay,32,A,20040705,28,103292,2.0,,Gaston Gaudio,R,175.0,ARG,25.5,104745,,,Rafael Nadal,L,185.0,ESP,18.0,6-2 6-3,3,QF,78.0,2.0,2.0,49.0,27.0,19.0,8.0,8.0,1.0,4.0,0.0,0.0,49.0,35.0,13.0,4.0,9.0,5.0,12.0,11.0,1700.0,60.0,685.0
2004-321,Stuttgart,Clay,48,A,20040712,43,103970,11.0,,David Ferrer,R,175.0,ESP,22.2,104745,14.0,,Rafael Nadal,L,185.0,ESP,18.1,6-3 6-7(3) 7-5,3,QF,146.0,3.0,3.0,112.0,70.0,47.0,19.0,17.0,2.0,6.0,2.0,1.0,104.0,76.0,44.0,15.0,16.0,7.0,13.0,47.0,749.0,57.0,685.0
2004-325,Palermo,Clay,32,A,20040927,20,103133,,,Olivier Mutis,R,175.0,FRA,26.6,104745,6.0,,Rafael Nadal,L,185.0,ESP,18.3,6-3 6-3,3,R16,86.0,1.0,1.0,63.0,35.0,26.0,17.0,9.0,7.0,7.0,0.0,0.0,61.0,51.0,29.0,5.0,9.0,2.0,5.0,113.0,372.0,49.0,745.0
2004-375,Lyon,Carpet,32,A,20041004,11,103898,,Q,Julien Benneteau,R,185.0,FRA,22.7,104745,,,Rafael Nadal,L,185.0,ESP,18.3,6-3 6-0,3,R32,65.0,1.0,1.0,38.0,21.0,15.0,14.0,7.0,0.0,0.0,1.0,3.0,55.0,40.0,22.0,3.0,8.0,7.0,12.0,75.0,518.0,50.0,745.0
2004-403,Miami Masters,Hard,96,M,20040322,81,103602,21.0,,Fernando Gonzalez,R,183.0,CHI,23.6,104745,32.0,,Rafael Nadal,L,185.0,ESP,17.8,7-6(1) 4-6 6-2,3,R16,130.0,8.0,5.0,95.0,61.0,48.0,15.0,15.0,5.0,8.0,1.0,3.0,98.0,70.0,44.0,14.0,15.0,7.0,11.0,22.0,1150.0,34.0,973.0
2004-404,Indian Wells Masters,Hard,96,M,20040308,78,102860,22.0,,Agustin Calleri,R,183.0,ARG,27.4,104745,,,Rafael Nadal,L,185.0,ESP,17.7,6-4 3-6 7-6(10),3,R32,158.0,8.0,3.0,98.0,52.0,39.0,23.0,15.0,2.0,6.0,0.0,0.0,118.0,85.0,50.0,21.0,16.0,12.0,16.0,23.0,1155.0,36.0,953.0
2004-421,Canada Masters,Hard,64,M,20040726,5,103720,9.0,,Lleyton Hewitt,R,180.0,AUS,23.4,104745,,,Rafael Nadal,L,185.0,ESP,18.1,1-6 6-4 6-2,3,R64,104.0,7.0,3.0,67.0,29.0,23.0,18.0,12.0,3.0,7.0,1.0,0.0,86.0,63.0,36.0,12.0,13.0,7.0,12.0,10.0,1990.0,62.0,664.0
2004-422,Cincinnati Masters,Hard,64,M,20040802,17,103428,17.0,,Juan Ignacio Chela,R,190.0,ARG,24.9,104745,,,Rafael Nadal,L,185.0,ESP,18.1,6-4 4-6 7-6(3),3,R64,137.0,11.0,1.0,95.0,68.0,54.0,15.0,16.0,4.0,6.0,2.0,3.0,98.0,68.0,49.0,16.0,16.0,7.0,9.0,16.0,1320.0,71.0,589.0
2004-468,Estoril,Clay,32,A,20040412,28,103789,,,Irakli Labadze,L,188.0,GEO,22.8,104745,,,Rafael Nadal,L,185.0,ESP,17.8,W/O,3,QF,,,,,,,,,,,,,,,,,,,,52.0,658.0,34.0,978.0
2004-495,Dubai,Hard,32,A,20040301,28,104022,,,Mikhail Youzhny,R,183.0,RUS,21.6,104745,,,Rafael Nadal,L,185.0,ESP,17.7,6-2 1-6 6-1,3,QF,95.0,4.0,4.0,65.0,34.0,26.0,13.0,11.0,4.0,7.0,0.0,1.0,62.0,39.0,20.0,14.0,11.0,5.0,10.0,57.0,625.0,40.0,887.0
2004-560,US Open,Hard,128,G,20040830,96,104053,2.0,,Andy Roddick,R,188.0,USA,22.0,104745,,,Rafael Nadal,L,185.0,ESP,18.2,6-0 6-3 6-4,5,R64,96.0,10.0,3.0,74.0,45.0,31.0,19.0,12.0,3.0,4.0,0.0,4.0,74.0,61.0,30.0,3.0,13.0,4.0,11.0,2.0,4520.0,49.0,745.0
2004-D008,Davis Cup WG R1: CZE vs ESP,Carpet,4,D,20040206,1,102562,,,Jiri Novak,R,190.0,CZE,28.8,104745,,,Rafael Nadal,L,185.0,ESP,17.6,7-6(2) 6-3 7-6(3),5,RR,,,,,,,,,,,,,,,,,,,,16.0,1545.0,40.0,917.0
2005-422,Cincinnati Masters,Hard,64,M,20050815,32,104607,,,Tomas Berdych,R,196.0,CZE,19.9,104745,2.0,,Rafael Nadal,L,185.0,ESP,19.2,6-7(4) 6-2 7-6(3),3,R64,177.0,11.0,3.0,124.0,65.0,53.0,28.0,16.0,10.0,12.0,4.0,6.0,111.0,59.0,41.0,28.0,16.0,2.0,6.0,36.0,1030.0,2.0,4355.0
