tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2006-1536,Madrid Masters,Hard,48,M,20061016,17,103819,1.0,,Roger Federer,R,185.0,SUI,25.1,103454,,,Nicolas Massu,R,183.0,CHI,27.0,6-3 6-2,3,R32,85.0,7.0,0.0,57.0,31.0,24.0,16.0,9.0,3.0,3.0,2.0,2.0,55.0,34.0,22.0,8.0,8.0,3.0,6.0,1.0,7370.0,45.0,795.0
2006-1536,Madrid Masters,Hard,48,M,20061016,33,103819,1.0,,Roger Federer,R,185.0,SUI,25.1,104417,,,Robin Soderling,R,193.0,SWE,22.1,7-6(5) 7-6(8),3,R16,108.0,13.0,0.0,79.0,60.0,51.0,13.0,12.0,2.0,2.0,8.0,3.0,102.0,62.0,50.0,19.0,12.0,8.0,8.0,1.0,7370.0,29.0,988.0
2006-1536,Madrid Masters,Hard,48,M,20061016,45,103819,1.0,,Roger Federer,R,185.0,SUI,25.1,103900,4.0,,David Nalbandian,R,180.0,ARG,24.7,6-4 6-0,3,SF,59.0,9.0,0.0,41.0,27.0,21.0,8.0,8.0,0.0,1.0,1.0,2.0,54.0,38.0,21.0,3.0,8.0,5.0,10.0,1.0,7370.0,4.0,2900.0
2006-1536,Madrid Masters,Hard,48,M,20061016,47,103819,1.0,,Roger Federer,R,185.0,SUI,25.1,103602,10.0,,Fernando Gonzalez,R,183.0,CHI,26.2,7-5 6-1 6-0,5,F,108.0,11.0,2.0,81.0,45.0,36.0,24.0,13.0,2.0,2.0,4.0,0.0,79.0,50.0,26.0,15.0,12.0,7.0,13.0,1.0,7370.0,10.0,1965.0
2006-328,Basel,Carpet,32,A,20061023,17,103819,1.0,,Roger Federer,R,185.0,SUI,25.2,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,23.3,6-2 6-0,3,R16,53.0,4.0,1.0,37.0,21.0,18.0,10.0,7.0,0.0,0.0,2.0,4.0,55.0,30.0,16.0,8.0,7.0,6.0,11.0,1.0,7870.0,75.0,522.0
2006-328,Basel,Carpet,32,A,20061023,29,103819,1.0,,Roger Federer,R,185.0,SUI,25.2,103387,,,Paradorn Srichaphan,R,185.0,THA,27.3,6-4 3-6 7-6(5),3,SF,118.0,8.0,0.0,83.0,60.0,48.0,16.0,15.0,0.0,1.0,6.0,3.0,110.0,58.0,46.0,29.0,16.0,6.0,7.0,1.0,7870.0,54.0,710.0
2006-328,Basel,Carpet,32,A,20061023,31,103819,1.0,,Roger Federer,R,185.0,SUI,25.2,103602,3.0,,Fernando Gonzalez,R,183.0,CHI,26.2,6-3 6-2 7-6(3),5,F,119.0,14.0,1.0,86.0,67.0,56.0,13.0,15.0,2.0,2.0,6.0,5.0,121.0,67.0,49.0,21.0,14.0,8.0,11.0,1.0,7870.0,7.0,2190.0
2006-329,Tokyo,Hard,48,A,20061002,33,103819,1.0,,Roger Federer,R,185.0,SUI,25.1,103325,13.0,,Wesley Moodie,R,196.0,RSA,27.6,6-2 6-1,3,R16,52.0,5.0,0.0,40.0,27.0,23.0,10.0,8.0,0.0,0.0,4.0,2.0,44.0,24.0,14.0,7.0,7.0,4.0,8.0,1.0,7120.0,73.0,550.0
2006-329,Tokyo,Hard,48,A,20061002,41,103819,1.0,,Roger Federer,R,185.0,SUI,25.1,102863,,WC,Takao Suzuki,R,175.0,JPN,30.0,4-6 7-5 7-6(3),3,QF,124.0,15.0,0.0,88.0,60.0,52.0,17.0,17.0,2.0,3.0,6.0,3.0,111.0,68.0,50.0,24.0,17.0,1.0,2.0,1.0,7120.0,1078.0,6.0
2006-329,Tokyo,Hard,48,A,20061002,45,103819,1.0,,Roger Federer,R,185.0,SUI,25.1,103794,14.0,,Benjamin Becker,R,178.0,GER,25.2,6-3 6-4,3,SF,60.0,8.0,0.0,49.0,29.0,29.0,12.0,10.0,1.0,1.0,4.0,1.0,57.0,31.0,21.0,17.0,9.0,2.0,4.0,1.0,7120.0,72.0,553.0
2006-329,Tokyo,Hard,48,A,20061002,47,103819,1.0,,Roger Federer,R,185.0,SUI,25.1,102450,10.0,,Tim Henman,R,185.0,GBR,32.0,6-3 6-3,3,F,67.0,4.0,2.0,48.0,27.0,20.0,17.0,9.0,0.0,0.0,0.0,6.0,65.0,44.0,29.0,7.0,9.0,8.0,11.0,1.0,7120.0,55.0,685.0
2006-403,Miami Masters,Hard,96,M,20060320,33,103819,1.0,,Roger Federer,R,185.0,SUI,24.6,103096,,,Arnaud Clement,R,173.0,FRA,28.2,6-2 6-7(4) 6-0,3,R64,119.0,6.0,2.0,94.0,60.0,44.0,16.0,13.0,3.0,4.0,2.0,3.0,75.0,39.0,22.0,19.0,13.0,3.0,9.0,1.0,6935.0,53.0,746.0
2006-403,Miami Masters,Hard,96,M,20060320,65,103819,1.0,,Roger Federer,R,185.0,SUI,24.6,103163,27.0,,Tommy Haas,R,188.0,GER,27.9,6-1 6-3,3,R32,74.0,4.0,2.0,55.0,36.0,29.0,9.0,8.0,4.0,4.0,2.0,1.0,55.0,37.0,25.0,4.0,8.0,3.0,7.0,1.0,6935.0,28.0,1250.0
2006-403,Miami Masters,Hard,96,M,20060320,81,103819,1.0,,Roger Federer,R,185.0,SUI,24.6,104098,,,Dmitry Tursunov,R,185.0,RUS,23.2,6-3 6-3,3,R16,58.0,5.0,2.0,43.0,29.0,25.0,8.0,9.0,0.0,1.0,4.0,3.0,56.0,33.0,22.0,7.0,9.0,3.0,7.0,1.0,6935.0,36.0,870.0
2006-403,Miami Masters,Hard,96,M,20060320,89,103819,1.0,,Roger Federer,R,185.0,SUI,24.6,103484,9.0,,James Blake,R,185.0,USA,26.2,7-6(2) 6-4,3,QF,87.0,6.0,1.0,78.0,46.0,32.0,22.0,11.0,2.0,3.0,4.0,4.0,71.0,36.0,29.0,17.0,11.0,2.0,4.0,1.0,6935.0,9.0,1880.0
2006-403,Miami Masters,Hard,96,M,20060320,93,103819,1.0,,Roger Federer,R,185.0,SUI,24.6,103970,11.0,,David Ferrer,R,175.0,ESP,23.9,6-1 6-4,3,SF,60.0,2.0,1.0,52.0,35.0,27.0,10.0,9.0,2.0,3.0,0.0,2.0,52.0,38.0,21.0,6.0,8.0,1.0,5.0,1.0,6935.0,11.0,1700.0
2006-403,Miami Masters,Hard,96,M,20060320,95,103819,1.0,,Roger Federer,R,185.0,SUI,24.6,103344,6.0,,Ivan Ljubicic,R,193.0,CRO,27.0,7-6(5) 7-6(4) 7-6(6),5,F,177.0,8.0,3.0,124.0,78.0,58.0,29.0,18.0,5.0,7.0,21.0,3.0,121.0,68.0,53.0,31.0,18.0,5.0,7.0,1.0,6935.0,6.0,2295.0
2006-404,Indian Wells Masters,Hard,96,M,20060306,33,103819,1.0,,Roger Federer,R,185.0,SUI,24.5,103454,,,Nicolas Massu,R,183.0,CHI,26.4,6-3 7-6(4),3,R64,94.0,3.0,1.0,66.0,40.0,30.0,21.0,11.0,1.0,1.0,2.0,1.0,67.0,46.0,30.0,13.0,10.0,3.0,4.0,1.0,6935.0,47.0,805.0
2006-404,Indian Wells Masters,Hard,96,M,20060306,65,103819,1.0,,Roger Federer,R,185.0,SUI,24.5,103694,30.0,,Olivier Rochus,R,168.0,BEL,25.1,3-6 6-2 7-5,3,R32,114.0,8.0,3.0,97.0,54.0,39.0,24.0,14.0,5.0,6.0,1.0,4.0,87.0,59.0,39.0,16.0,15.0,3.0,6.0,1.0,6935.0,32.0,950.0
2006-404,Indian Wells Masters,Hard,96,M,20060306,89,103819,1.0,,Roger Federer,R,185.0,SUI,24.5,103344,6.0,,Ivan Ljubicic,R,193.0,CRO,26.9,6-2 6-3,3,QF,67.0,5.0,1.0,53.0,37.0,29.0,9.0,9.0,1.0,1.0,4.0,1.0,51.0,38.0,23.0,5.0,8.0,4.0,7.0,1.0,6935.0,6.0,2245.0
2006-404,Indian Wells Masters,Hard,96,M,20060306,93,103819,1.0,,Roger Federer,R,185.0,SUI,24.5,103387,,,Paradorn Srichaphan,R,185.0,THA,26.7,6-2 6-3,3,SF,60.0,3.0,0.0,50.0,36.0,24.0,10.0,9.0,0.0,1.0,4.0,2.0,55.0,38.0,21.0,8.0,8.0,3.0,7.0,1.0,6935.0,61.0,655.0
2006-404,Indian Wells Masters,Hard,96,M,20060306,95,103819,1.0,,Roger Federer,R,185.0,SUI,24.5,103484,12.0,,James Blake,R,185.0,USA,26.1,7-5 6-3 6-0,5,F,103.0,3.0,1.0,79.0,46.0,37.0,18.0,14.0,2.0,4.0,3.0,3.0,89.0,44.0,20.0,22.0,13.0,9.0,16.0,1.0,6935.0,14.0,1565.0
2006-410,Monte Carlo Masters,Clay,64,M,20060417,1,103819,1.0,,Roger Federer,R,185.0,SUI,24.6,104925,,Q,Novak Djokovic,R,188.0,SRB,18.9,6-3 2-6 6-3,3,R64,109.0,1.0,0.0,73.0,39.0,28.0,21.0,13.0,0.0,2.0,1.0,4.0,94.0,61.0,36.0,19.0,13.0,8.0,11.0,1.0,6810.0,67.0,606.0
2006-410,Monte Carlo Masters,Clay,64,M,20060417,33,103819,1.0,,Roger Federer,R,185.0,SUI,24.6,103252,,,Alberto Martin,R,175.0,ESP,27.6,6-0 6-1,3,R32,46.0,2.0,1.0,33.0,20.0,18.0,10.0,7.0,0.0,0.0,0.0,3.0,37.0,23.0,8.0,5.0,6.0,1.0,6.0,1.0,6810.0,66.0,622.0
