tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2006-410,Monte Carlo Masters,Clay,64,M,20060417,63,104745,2.0,,Rafael Nadal,L,185.0,ESP,19.8,103819,1.0,,Roger Federer,R,185.0,SUI,24.6,6-2 6-7(2) 6-3 7-6(5),5,F,230.0,1.0,4.0,152.0,106.0,70.0,24.0,21.0,14.0,18.0,3.0,3.0,143.0,86.0,54.0,28.0,20.0,7.0,14.0,2.0,4135.0,1.0,6810.0
2006-416,Rome Masters,Clay,64,M,20060508,63,104745,2.0,,Rafael Nadal,L,185.0,ESP,19.9,103819,1.0,,Roger Federer,R,185.0,SUI,24.7,6-7(0) 7-6(5) 6-4 2-6 7-6(5),5,F,305.0,4.0,1.0,173.0,147.0,101.0,14.0,27.0,6.0,10.0,10.0,0.0,180.0,112.0,86.0,35.0,27.0,6.0,9.0,2.0,4135.0,1.0,7160.0
2006-422,Cincinnati Masters,Hard,64,M,20060814,33,104918,,,Andy Murray,R,190.0,GBR,19.2,103819,1.0,,Roger Federer,R,185.0,SUI,25.0,7-5 6-4,3,R32,97.0,4.0,3.0,68.0,28.0,17.0,19.0,11.0,2.0,7.0,6.0,3.0,76.0,42.0,24.0,13.0,11.0,7.0,14.0,21.0,1210.0,1.0,7760.0
2006-495,Dubai,Hard,32,A,20060227,31,104745,2.0,,Rafael Nadal,L,185.0,ESP,19.7,103819,1.0,,Roger Federer,R,185.0,SUI,24.5,2-6 6-4 6-4,3,F,113.0,1.0,1.0,80.0,56.0,38.0,13.0,14.0,0.0,3.0,9.0,0.0,69.0,41.0,33.0,16.0,14.0,2.0,5.0,2.0,4455.0,1.0,6725.0
2006-520,Roland Garros,Clay,128,G,20060529,127,104745,2.0,,Rafael Nadal,L,185.0,ESP,19.9,103819,1.0,,Roger Federer,R,185.0,SUI,24.8,1-6 6-1 6-4 7-6(4),5,F,182.0,3.0,0.0,111.0,85.0,59.0,17.0,18.0,7.0,10.0,8.0,1.0,119.0,72.0,49.0,25.0,18.0,8.0,12.0,2.0,4545.0,1.0,7010.0
2007-1536,Madrid Masters,Hard,48,M,20071015,47,103900,,,David Nalbandian,R,180.0,ARG,25.7,103819,1.0,,Roger Federer,R,185.0,SUI,26.1,1-6 6-3 6-3,3,F,109.0,4.0,2.0,75.0,40.0,30.0,18.0,12.0,3.0,5.0,8.0,1.0,81.0,48.0,36.0,15.0,13.0,2.0,5.0,25.0,1160.0,1.0,7355.0
2007-352,Paris Masters,Hard,48,M,20071028,33,103900,,,David Nalbandian,R,180.0,ARG,25.8,103819,1.0,,Roger Federer,R,185.0,SUI,26.2,6-4 7-6(3),3,R16,102.0,6.0,2.0,88.0,44.0,31.0,24.0,11.0,3.0,5.0,4.0,0.0,66.0,44.0,30.0,12.0,11.0,3.0,6.0,21.0,1375.0,1.0,7205.0
2007-403,Miami Masters,Hard,96,M,20070319,81,103084,,Q,Guillermo Canas,R,185.0,ARG,29.3,103819,1.0,,Roger Federer,R,185.0,SUI,25.6,7-6(2) 2-6 7-6(5),3,R16,159.0,5.0,0.0,122.0,67.0,51.0,26.0,16.0,12.0,16.0,7.0,1.0,97.0,54.0,39.0,27.0,16.0,3.0,5.0,55.0,652.0,1.0,7715.0
2007-404,Indian Wells Masters,Hard,96,M,20070305,33,103084,,LL,Guillermo Canas,R,185.0,ARG,29.2,103819,1.0,,Roger Federer,R,185.0,SUI,25.5,7-5 6-2,3,R64,105.0,1.0,1.0,68.0,42.0,29.0,14.0,10.0,2.0,3.0,5.0,2.0,77.0,44.0,30.0,12.0,10.0,3.0,7.0,60.0,614.0,1.0,8210.0
2007-416,Rome Masters,Clay,56,M,20070507,41,103835,,WC,Filippo Volandri,R,183.0,ITA,25.6,103819,1.0,,Roger Federer,R,185.0,SUI,25.7,6-2 6-4,3,R16,78.0,0.0,2.0,62.0,46.0,33.0,7.0,9.0,6.0,7.0,5.0,4.0,54.0,24.0,17.0,11.0,9.0,4.0,8.0,53.0,682.0,1.0,7290.0
2007-421,Canada Masters,Hard,56,M,20070805,55,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.2,103819,1.0,,Roger Federer,R,185.0,SUI,25.9,7-6(2) 2-6 7-6(2),3,F,133.0,6.0,3.0,96.0,63.0,44.0,19.0,16.0,4.0,9.0,15.0,1.0,102.0,69.0,53.0,14.0,16.0,3.0,6.0,4.0,3200.0,1.0,7290.0
2007-605,Masters Cup,Hard,8,F,20071112,13,103602,,,Fernando Gonzalez,R,183.0,CHI,27.2,103819,,,Roger Federer,R,185.0,SUI,26.2,3-6 7-6(1) 7-5,3,RR,129.0,4.0,3.0,109.0,67.0,51.0,23.0,16.0,5.0,6.0,5.0,1.0,92.0,64.0,47.0,21.0,17.0,3.0,4.0,7.0,1905.0,1.0,6530.0
2008-1536,Madrid Masters,Hard,48,M,20081012,46,104918,4.0,,Andy Murray,R,190.0,GBR,21.4,103819,2.0,,Roger Federer,R,185.0,SUI,27.1,3-6 6-3 7-5,3,SF,117.0,14.0,2.0,86.0,53.0,45.0,17.0,15.0,2.0,3.0,7.0,1.0,98.0,65.0,46.0,18.0,15.0,7.0,9.0,4.0,2995.0,2.0,5930.0
2008-352,Paris Masters,Hard,48,M,20081026,44,103484,11.0,,James Blake,R,185.0,USA,28.8,103819,2.0,,Roger Federer,R,185.0,SUI,27.2,W/O,3,QF,,,,,,,,,,,,,,,,,,,,11.0,1625.0,2.0,5805.0
2008-403,Miami Masters,Hard,96,M,20080327,89,104053,6.0,,Andy Roddick,R,188.0,USA,25.5,103819,1.0,,Roger Federer,R,185.0,SUI,26.6,7-6(4) 4-6 6-3,3,QF,115.0,17.0,1.0,101.0,70.0,54.0,15.0,16.0,2.0,3.0,7.0,1.0,85.0,54.0,40.0,19.0,15.0,0.0,1.0,6.0,2160.0,1.0,6550.0
